video_id,detector_score,n_frames,label
Celeb-real__id0_0002__9e73ac85,0.16146759153343737,32,0
Celeb-real__id0_0005__c45f0938,0.32312787836417556,32,0
Celeb-real__id0_0007__4f22f911,0.39378712326288223,32,0
Celeb-real__id10_0000__9273e8bc,0.13190657540690154,32,0
Celeb-real__id10_0002__6a16be4b,0.19779027812182903,32,0
Celeb-real__id10_0004__2f2a56d2,0.21612389525398612,32,0
Celeb-real__id10_0006__556711a5,0.28654971847246435,29,0
Celeb-real__id10_0007__841eee79,0.310433357488364,32,0
Celeb-real__id10_0009__00911e7c,0.4859137684106827,32,0
Celeb-real__id11_0001__5a90326e,0.2958104005083442,32,0
Celeb-real__id11_0003__52787b89,0.32119483407586813,32,0
Celeb-real__id11_0007__e727fe81,0.23401189455762506,32,0
Celeb-real__id12_0001__49a98782,0.27994765783660114,32,0
Celeb-real__id12_0006__637d998d,0.32692552730441093,32,0
Celeb-real__id13_0008__0323fc47,0.2328372630290687,32,0
Celeb-real__id13_0011__dee78c96,0.44008234329521656,32,0
Celeb-real__id13_0012__14e6d503,0.24019517377018929,32,0
Celeb-real__id13_0014__ef3369c4,0.3847809825092554,32,0
Celeb-real__id16_0001__6c969226,0.2013719892129302,32,0
Celeb-real__id16_0002__b8fb1d0e,0.2081644118297845,32,0
Celeb-real__id16_0004__f6ba18ad,0.441165566444397,32,0
Celeb-real__id16_0006__ab3169fd,0.223176843021065,32,0
Celeb-real__id16_0012__e75472a5,0.2722841678187251,32,0
Celeb-real__id16_0013__2d0c3b72,0.07543786871246994,32,0
Celeb-real__id17_0000__0521aab4,0.36582024674862623,32,0
Celeb-real__id17_0001__a0719102,0.22231325134634972,32,0
Celeb-real__id17_0002__d232e7d9,0.2860085510183126,32,0
Celeb-real__id17_0004__8604701a,0.13326416281051934,32,0
Celeb-real__id17_0005__bae771c0,0.40257166512310505,32,0
Celeb-real__id17_0006__abf1d2f4,0.35585799161344767,32,0
Celeb-real__id17_0007__edded8c0,0.2923065179493278,32,0
Celeb-real__id17_0009__3a95f883,0.3732002507895231,32,0
Celeb-real__id19_0000__795a8811,0.21015201485715806,32,0
Celeb-real__id19_0002__b05d205e,0.33345322497189045,32,0
Celeb-real__id19_0003__02a18478,0.7289974826853722,32,0
Celeb-real__id19_0007__a1e0f6a6,0.11274957994464785,32,0
Celeb-real__id1_0008__b5428fba,0.22346336429473013,32,0
Celeb-real__id20_0001__5e2f4954,0.35239483043551445,32,0
Celeb-real__id20_0006__98781964,0.3676889343187213,32,0
Celeb-real__id20_0009__f207e1ab,0.06285949540324509,32,0
Celeb-real__id21_0004__b521a825,0.2581093139015138,32,0
Celeb-real__id21_0006__c1f0a997,0.3115704692900181,32,0
Celeb-real__id21_0009__9d9be594,0.2766817483352497,32,0
Celeb-real__id22_0000__8dfd7fca,0.22632436593994498,32,0
Celeb-real__id22_0001__87f936ab,0.22209128574468195,32,0
Celeb-real__id22_0002__0a374460,0.3095302344299853,32,0
Celeb-real__id22_0004__b044e515,0.37581853941082954,32,0
Celeb-real__id22_0009__54037f2f,0.32982148230075836,32,0
Celeb-real__id23_0002__ace021ef,0.17052302043884993,32,0
Celeb-real__id23_0003__a72d5360,0.26138733231252237,31,0
Celeb-real__id23_0008__8895b8e9,0.38568765949457884,32,0
Celeb-real__id24_0001__7b89a9c5,0.5770994238555431,32,0
Celeb-real__id24_0003__a477989b,0.36462575336918235,32,0
