frame_path,detector_score,label,video_id
Celeb-synthesis__FaceSwap__MobileFaceSwap__id4_id2_0004__e17a1f61/frame_000022.jpg,0.32466500997543335,1,Celeb-synthesis__FaceSwap__MobileFaceSwap__id4_id2_0004__e17a1f61
Celeb-synthesis__TalkingFace__EchoMimic__id25_0004_test_id00926_TOxtKuoggFI__b6e859c3/frame_000009.jpg,0.4993816316127777,1,Celeb-synthesis__TalkingFace__EchoMimic__id25_0004_test_id00926_TOxtKuoggFI__b6e859c3
Celeb-synthesis__TalkingFace__FLOAT__id47_0007_test_id03524_nKxz0LxKZ58__4ba50397/frame_000015.jpg,0.9166613221168518,1,Celeb-synthesis__TalkingFace__FLOAT__id47_0007_test_id03524_nKxz0LxKZ58__4ba50397
YouTube-real__00219__142de838/frame_000002.jpg,0.14213773608207703,0,YouTube-real__00219__142de838
Celeb-synthesis__FaceSwap__InSwapper__id54_id52_0005__a2df8529/frame_000013.jpg,0.45479539036750793,1,Celeb-synthesis__FaceSwap__InSwapper__id54_id52_0005__a2df8529
Celeb-synthesis__TalkingFace__SadTalker__id2_0007_test_id03127_QAySEL63CLw__03ef5aa6/frame_000004.jpg,0.025332236662507057,1,Celeb-synthesis__TalkingFace__SadTalker__id2_0007_test_id03127_QAySEL63CLw__03ef5aa6
Celeb-synthesis__FaceReenact__LivePortrait__id17_id1_0000__cd456b21/frame_000011.jpg,0.31762954592704773,1,Celeb-synthesis__FaceReenact__LivePortrait__id17_id1_0000__cd456b21
Celeb-synthesis__FaceSwap__Celeb-DF-v2__id34_id38_0002__4abfc322/frame_000016.jpg,0.25378602743148804,1,Celeb-synthesis__FaceSwap__Celeb-DF-v2__id34_id38_0002__4abfc322
Celeb-real__id32_0004__d8bdaf4c/frame_000014.jpg,0.16020281612873077,0,Celeb-real__id32_0004__d8bdaf4c
Celeb-real__id31_0002__3d64dd16/frame_000006.jpg,0.29455503821372986,0,Celeb-real__id31_0002__3d64dd16
Celeb-synthesis__TalkingFace__AniTalker__id16_0004_test_id03524_Lt7XKpDEmh0__ab4f76f6/frame_000027.jpg,0.6125724911689758,1,Celeb-synthesis__TalkingFace__AniTalker__id16_0004_test_id03524_Lt7XKpDEmh0__ab4f76f6
Celeb-synthesis__FaceReenact__LivePortrait__id47_id41_0002__b7a4d96a/frame_000016.jpg,0.428119421005249,1,Celeb-synthesis__FaceReenact__LivePortrait__id47_id41_0002__b7a4d96a
Celeb-synthesis__FaceReenact__FSRT__id50_id56_0007__1fcbdab6/frame_000027.jpg,0.907286524772644,1,Celeb-synthesis__FaceReenact__FSRT__id50_id56_0007__1fcbdab6
YouTube-real__00247__bafef148/frame_000004.jpg,0.4940563440322876,0,YouTube-real__00247__bafef148
YouTube-real__00202__8d69b06d/frame_000028.jpg,0.7052428126335144,0,YouTube-real__00202__8d69b06d
Celeb-synthesis__FaceReenact__LIA__id61_id59_0002__c790fdd0/frame_000012.jpg,0.30600398778915405,1,Celeb-synthesis__FaceReenact__LIA__id61_id59_0002__c790fdd0
Celeb-real__id3_0001__9ceb5ffd/frame_000023.jpg,0.12448804080486298,0,Celeb-real__id3_0001__9ceb5ffd
Celeb-synthesis__FaceReenact__LIA__id45_id42_0004__3cfc49a9/frame_000004.jpg,0.7431899309158325,1,Celeb-synthesis__FaceReenact__LIA__id45_id42_0004__3cfc49a9
Celeb-synthesis__FaceSwap__HifiFace__id53_id58_0004__61dde1e5/frame_000000.jpg,0.22666755318641663,1,Celeb-synthesis__FaceSwap__HifiFace__id53_id58_0004__61dde1e5
YouTube-real__00047__ddcd50e0/frame_000026.jpg,0.4287017583847046,0,YouTube-real__00047__ddcd50e0
YouTube-real__00037__a09736d0/frame_000012.jpg,0.37770307064056396,0,YouTube-real__00037__a09736d0
Celeb-synthesis__FaceSwap__UniFace__id23_id35_0006__9c4d682a/frame_000022.jpg,0.3841393291950226,1,Celeb-synthesis__FaceSwap__UniFace__id23_id35_0006__9c4d682a
Celeb-real__id26_0004__4d0db3c5/frame_000010.jpg,0.20507901906967163,0,Celeb-real__id26_0004__4d0db3c5
YouTube-real__00047__ddcd50e0/frame_000025.jpg,0.444533109664917,0,YouTube-real__00047__ddcd50e0
Celeb-real__id17_0004__8604701a/frame_000004.jpg,0.09146349877119064,0,Celeb-real__id17_0004__8604701a
Celeb-synthesis__TalkingFace__EchoMimic__id24_0009_test_id01000_f-mjLyC1-4g__3e1aa409/frame_000008.jpg,0.13756036758422852,1,Celeb-synthesis__TalkingFace__EchoMimic__id24_0009_test_id01000_f-mjLyC1-4g__3e1aa409
Celeb-synthesis__TalkingFace__EDTalk__id56_0008_test_id08696_B8nZX3w62Fg__514b1da2/frame_000016.jpg,0.7297645211219788,1,Celeb-synthesis__TalkingFace__EDTalk__id56_0008_test_id08696_B8nZX3w62Fg__514b1da2
Celeb-real__id37_0003__a8a97d1d/frame_000015.jpg,0.11637263000011444,0,Celeb-real__id37_0003__a8a97d1d
YouTube-real__00083__a4b1f59c/frame_000030.jpg,0.4715833067893982,0,YouTube-real__00083__a4b1f59c
Celeb-real__id32_0002__3a231191/frame_000003.jpg,0.31427162885665894,0,Celeb-real__id32_0002__3a231191
Celeb-synthesis__FaceReenact__FSRT__id0_id28_0009__d2827330/frame_000019.jpg,0.80734783411026,1,Celeb-synthesis__FaceReenact__FSRT__id0_id28_0009__d2827330
Celeb-synthesis__FaceReenact__LivePortrait__id35_id9_0007__2b002193/frame_000007.jpg,0.43347373604774475,1,Celeb-synthesis__FaceReenact__LivePortrait__id35_id9_0007__2b002193
Celeb-real__id44_0000__e7d85637/frame_000011.jpg,0.4329878091812134,0,Celeb-real__id44_0000__e7d85637
Celeb-synthesis__TalkingFace__IP_LAP__id17_0008_test_id02317_U9C74tfLcqc__78e8dd1d/frame_000005.jpg,0.6095620393753052,1,Celeb-synthesis__TalkingFace__IP_LAP__id17_0008_test_id02317_U9C74tfLcqc__78e8dd1d
Celeb-synthesis__FaceSwap__UniFace__id25_id28_0005__fd9262d1/frame_000004.jpg,0.21829310059547424,1,Celeb-synthesis__FaceSwap__UniFace__id25_id28_0005__fd9262d1
Celeb-synthesis__FaceSwap__InSwapper__id28_id6_0001__c09bd86d/frame_000022.jpg,0.4357943832874298,1,Celeb-synthesis__FaceSwap__InSwapper__id28_id6_0001__c09bd86d
Celeb-real__id31_0009__69e62bbe/frame_000020.jpg,0.2609037160873413,0,Celeb-real__id31_0009__69e62bbe
YouTube-real__00149__38bf8552/frame_000018.jpg,0.23055395483970642,0,YouTube-real__00149__38bf8552
YouTube-real__00038__9fde613b/frame_000025.jpg,0.475369393825531,0,YouTube-real__00038__9fde613b
Celeb-synthesis__FaceSwap__SimSwap__id28_id37_0009__affdc5fe/frame_000009.jpg,0.22956641018390656,1,Celeb-synthesis__FaceSwap__SimSwap__id28_id37_0009__affdc5fe
Celeb-synthesis__FaceReenact__FSRT__id9_id21_0001__c5b28789/frame_000012.jpg,0.9336360692977905,1,Celeb-synthesis__FaceReenact__FSRT__id9_id21_0001__c5b28789
Celeb-synthesis__TalkingFace__IP_LAP__id4_0003_test_id06484_oG2N7E2Pu60__3c126936/frame_000020.jpg,0.9558240175247192,1,Celeb-synthesis__TalkingFace__IP_LAP__id4_0003_test_id06484_oG2N7E2Pu60__3c126936
Celeb-synthesis__TalkingFace__Real3DPortrait__id46_0003_test_id04276_sPZWjloFrg8__7fdd9a7a/frame_000019.jpg,0.7600629925727844,1,Celeb-synthesis__TalkingFace__Real3DPortrait__id46_0003_test_id04276_sPZWjloFrg8__7fdd9a7a
YouTube-real__00121__15f8d3f7/frame_000029.jpg,0.3665047883987427,0,YouTube-real__00121__15f8d3f7
Celeb-real__id43_0001__fd0241c3/frame_000005.jpg,0.1165144294500351,0,Celeb-real__id43_0001__fd0241c3
Celeb-synthesis__FaceSwap__MobileFaceSwap__id31_id2_0002__deeb407b/frame_000018.jpg,0.3184889256954193,1,Celeb-synthesis__FaceSwap__MobileFaceSwap__id31_id2_0002__deeb407b
Celeb-real__id6_0001__fa5a90f3/frame_000014.jpg,0.42083442211151123,0,Celeb-real__id6_0001__fa5a90f3
YouTube-real__00263__06a11c4b/frame_000003.jpg,0.4145735502243042,0,YouTube-real__00263__06a11c4b
Celeb-synthesis__TalkingFace__IP_LAP__id37_0004_test_id01228_ji5bXRNaUtQ__bf24620a/frame_000008.jpg,0.6231980323791504,1,Celeb-synthesis__TalkingFace__IP_LAP__id37_0004_test_id01228_ji5bXRNaUtQ__bf24620a
Celeb-synthesis__FaceSwap__HifiFace__id1_id23_0006__682444db/frame_000012.jpg,0.3974314033985138,1,Celeb-synthesis__FaceSwap__HifiFace__id1_id23_0006__682444db
Celeb-synthesis__TalkingFace__FLOAT__id48_0004_test_id08696_Hd5ulx7ZfO0__c1351bc3/frame_000018.jpg,0.553849995136261,1,Celeb-synthesis__TalkingFace__FLOAT__id48_0004_test_id08696_Hd5ulx7ZfO0__c1351bc3
YouTube-real__00193__244ee452/frame_000004.jpg,0.5148623585700989,0,YouTube-real__00193__244ee452
Celeb-synthesis__TalkingFace__AniTalker__id61_0006_test_id00017_wrB-yyERH2s__b0ce7675/frame_000010.jpg,0.41510307788848877,1,Celeb-synthesis__TalkingFace__AniTalker__id61_0006_test_id00017_wrB-yyERH2s__b0ce7675
Celeb-synthesis__TalkingFace__EDTalk__id47_0008_test_id03127_RmKc_HNTw-k__e607e11a/frame_000018.jpg,0.8271140456199646,1,Celeb-synthesis__TalkingFace__EDTalk__id47_0008_test_id03127_RmKc_HNTw-k__e607e11a
YouTube-real__00012__3a81ebd4/frame_000025.jpg,0.3874551057815552,0,YouTube-real__00012__3a81ebd4
Celeb-real__id30_0005__d961a547/frame_000030.jpg,0.35640257596969604,0,Celeb-real__id30_0005__d961a547
